time,lon,lag,mag
1388620296020,-116.7776667,33.6633333,1.29
1388620046000,-151.6458,63.102,1.1
1388619956000,-149.9849,61.4624,1.3
1388619763000,-150.8275,62.7884,1.4
1388619735000,-71.621,-29.888,4
1388619644020,-122.7839966,38.8071671,0.53
1388619483870,-118.8948333,37.6433333,0.7
1388619402290,-116.562,33.5175,0.47
1388619146923,-118.4646,38.5678,0.6
1388619137530,-176.8207,-23.9576,4.2
1388618718000,-167.302,53.3823,1.8
1388618653890,128.3539,-6.1578,4.2
1388618284550,-123.1971667,48.4256667,0.64
1388618225608,-118.4594,38.5819,0.3
1388617808800,-66.1455,18.3276,2.7
1388617699360,-115.6021667,33.1823333,0.3
1388617516400,-95.659,17.7689,4
1388617471115,-116.1108,36.6771,0.3
1388617009820,-118.8601667,37.5738333,0.35
1388616646650,-115.3121667,32.2258333,1.88
1388616254500,-122.746666,38.7745018,1.33
1388616011920,-118.3738333,37.3576667,0.68
1388615750350,-122.7716675,38.8033333,0.52
1388615736120,-122.8146667,38.8096667,1.05
1388615631260,167.2381,-13.7511,4.6
1388615608908,-118.4346,38.5729,0.8
1388615267370,-121.7506667,46.8501667,-0.33
1388615009140,-116.7493333,33.7068333,0.53
1388614835770,-118.4288333,37.6036667,2.51
1388614645310,-122.7926636,38.8081665,0.54
1388614630842,-118.4437,38.5754,0.4
1388614523980,-122.813,38.8013333,1.42
1388614491890,-116.4721667,33.5045,0.45
1388614225770,-118.8945,37.6426667,0.67
1388614199290,-118.8963333,37.6428333,0.34
1388614036060,-118.8876667,37.6308333,0.13
1388613903740,-13.4962,-45.9283,4.4
1388613896000,-146.8787,61.2736,2
1388613846190,-118.8953333,37.6445,0.6
1388613565000,-147.7842,60.506,1.9
1388613493430,-122.8209991,38.8436661,0.57
1388613272880,-122.8188324,38.8203316,0.46
1388612888000,-167.2268,53.2559,2.3
1388612358450,-122.8241667,38.8173333,1.3
1388612314180,-116.1058,36.6753,0
1388612184000,-147.5004,64.8073,0.5
1388612020420,130.0048,-6.4984,4
1388611837690,-122.8105011,38.8221664,0.59
1388611612150,-116.124,33.7718333,1
1388611549120,129.4565,-3.0101,4.7
